, 4092, 10
0, 18844, 2
0, 18786, 36
0, 18936, 18
0, 18846, 4
0, 18954, 2
0, 18850, 32
0, 18956, 2
0, 18882, 28
0, 18958, 2
0, 18910, 12
1, 152986, 460
0, 153446, 1
1, 153446, 1
0, 18922, 14
0, 18960, 2
0, 19036, 18
0, 18962, 36
0, 19054, 2
0, 18998, 14
0, 19056, 2
0, 19012, 18
0, 19058, 2
0, 19030, 6
0, 19100, 18
0, 19060, 10
0, 19118, 2
0, 19070, 10
1, 153446, 435
0, 153881, 1
1, 153881, 1
0, 19080, 2
0, 19120, 2
0, 19082, 18
0, 19122, 4
0, 19162, 18
0, 19126, 6
0, 19180, 2
0, 19132, 16
0, 19182, 2
0, 19148, 12
0, 19184, 2
0, 19160, 2
0, 19246, 18
0, 19186, 4
1, 153880, 176
0, 19264, 2
1, 154056, 198
0, 19190, 20
0, 19266, 2
0, 19210, 24
0, 19268, 2
0, 19234, 12
0, 19334, 18
0, 19270, 22
0, 19352, 2
0, 19292, 20
0, 19354, 2
0, 19312, 20
1, 154252, 457
0, 154709, 1
1, 154709, 1
0, 19356, 2
0, 19332, 2
0, 19422, 18
0, 19358, 20
0, 19440, 2
0, 19378, 24
0, 19442, 2
0, 19402, 20
0, 19444, 2
0, 19508, 18
0, 19446, 2
0, 19526, 2
0, 19448, 18
0, 19528, 2
0, 19466, 6
1, 154708, 505
0, 19472, 12
0, 19530, 2
0, 19484, 22
1, 155212, 86
0, 155298, 1
1, 155298, 1
0, 19532, 2
0, 19506, 2
0, 19614, 18
0, 19534, 26
0, 19632, 2
0, 19560, 24
0, 19634, 2
0, 19584, 24
0, 19636, 2
0, 19608, 6
0, 19720, 18
0, 19638, 16
0, 19738, 2
0, 19654, 24
0, 19740, 2
0, 19678, 24
1, 155298, 512
0, 19702, 8
0, 19742, 2
0, 19710, 10
0, 19878, 18
0, 19744, 2
1, 155810, 247
0, 156057, 1
1, 156057, 1
0, 19746, 28
0, 19896, 2
0, 19774, 36
0, 19898, 2
0, 19810, 40
1, 156056, 32
0, 19900, 2
1, 156088, 208
0, 19850, 28
0, 19902, 2
0, 20078, 18
0, 19904, 2
0, 20096, 2
0, 19906, 42
0, 20098, 2
0, 19948, 78
0, 20100, 2
0, 20026, 52
